[SA] n=50 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0016s | Distancia: 6991
[SA] n=50 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0025s | Distancia: 5325
[SA] n=50 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0012s | Distancia: 7699
[SA] n=50 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0084s | Distancia: 4525
[SA] n=50 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0129s | Distancia: 4176
[SA] n=50 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0060s | Distancia: 4933
[SA] n=50 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0170s | Distancia: 3944
[SA] n=50 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0261s | Distancia: 3592
[SA] n=50 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0132s | Distancia: 4533
[SA] n=50 | SA | T0=100, CR=0.9, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 7549
[SA] n=50 | SA | T0=100, CR=0.9, Tmin=0.0001 | Tiempo: 0.0014s | Distancia: 6920
[SA] n=50 | SA | T0=100, CR=0.9, Tmin=0.1 | Tiempo: 0.0007s | Distancia: 7988
[SA] n=50 | SA | T0=100, CR=0.95, Tmin=0.01 | Tiempo: 0.0017s | Distancia: 6745
[SA] n=50 | SA | T0=100, CR=0.95, Tmin=0.0001 | Tiempo: 0.0026s | Distancia: 6574
[SA] n=50 | SA | T0=100, CR=0.95, Tmin=0.1 | Tiempo: 0.0013s | Distancia: 6850
[SA] n=50 | SA | T0=100, CR=0.99, Tmin=0.01 | Tiempo: 0.0090s | Distancia: 4311
[SA] n=50 | SA | T0=100, CR=0.99, Tmin=0.0001 | Tiempo: 0.0135s | Distancia: 3830
[SA] n=50 | SA | T0=100, CR=0.99, Tmin=0.1 | Tiempo: 0.0070s | Distancia: 5490
[SA] n=50 | SA | T0=100, CR=0.995, Tmin=0.01 | Tiempo: 0.0184s | Distancia: 4096
[SA] n=50 | SA | T0=100, CR=0.995, Tmin=0.0001 | Tiempo: 0.0282s | Distancia: 3414
[SA] n=50 | SA | T0=100, CR=0.995, Tmin=0.1 | Tiempo: 0.0136s | Distancia: 3926
[SA] n=50 | SA | T0=500, CR=0.9, Tmin=0.01 | Tiempo: 0.0010s | Distancia: 6956
[SA] n=50 | SA | T0=500, CR=0.9, Tmin=0.0001 | Tiempo: 0.0014s | Distancia: 6894
[SA] n=50 | SA | T0=500, CR=0.9, Tmin=0.1 | Tiempo: 0.0008s | Distancia: 8438
[SA] n=50 | SA | T0=500, CR=0.95, Tmin=0.01 | Tiempo: 0.0020s | Distancia: 5998
[SA] n=50 | SA | T0=500, CR=0.95, Tmin=0.0001 | Tiempo: 0.0029s | Distancia: 5215
[SA] n=50 | SA | T0=500, CR=0.95, Tmin=0.1 | Tiempo: 0.0016s | Distancia: 6682
[SA] n=50 | SA | T0=500, CR=0.99, Tmin=0.01 | Tiempo: 0.0105s | Distancia: 4206
[SA] n=50 | SA | T0=500, CR=0.99, Tmin=0.0001 | Tiempo: 0.0157s | Distancia: 4046
[SA] n=50 | SA | T0=500, CR=0.99, Tmin=0.1 | Tiempo: 0.0083s | Distancia: 4861
[SA] n=50 | SA | T0=500, CR=0.995, Tmin=0.01 | Tiempo: 0.0213s | Distancia: 3502
[SA] n=50 | SA | T0=500, CR=0.995, Tmin=0.0001 | Tiempo: 0.0302s | Distancia: 3993
[SA] n=50 | SA | T0=500, CR=0.995, Tmin=0.1 | Tiempo: 0.0169s | Distancia: 4032
[SA] n=50 | SA | T0=1000, CR=0.9, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 6947
[SA] n=50 | SA | T0=1000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0015s | Distancia: 7544
[SA] n=50 | SA | T0=1000, CR=0.9, Tmin=0.1 | Tiempo: 0.0008s | Distancia: 8386
[SA] n=50 | SA | T0=1000, CR=0.95, Tmin=0.01 | Tiempo: 0.0022s | Distancia: 6538
[SA] n=50 | SA | T0=1000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0031s | Distancia: 6034
[SA] n=50 | SA | T0=1000, CR=0.95, Tmin=0.1 | Tiempo: 0.0018s | Distancia: 6778
[SA] n=50 | SA | T0=1000, CR=0.99, Tmin=0.01 | Tiempo: 0.0122s | Distancia: 4815
[SA] n=50 | SA | T0=1000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0164s | Distancia: 3697
[SA] n=50 | SA | T0=1000, CR=0.99, Tmin=0.1 | Tiempo: 0.0089s | Distancia: 4476
[SA] n=50 | SA | T0=1000, CR=0.995, Tmin=0.01 | Tiempo: 0.0239s | Distancia: 4146
[SA] n=50 | SA | T0=1000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0348s | Distancia: 3423
[SA] n=50 | SA | T0=1000, CR=0.995, Tmin=0.1 | Tiempo: 0.0190s | Distancia: 3826
[SA] n=50 | SA | T0=2000, CR=0.9, Tmin=0.01 | Tiempo: 0.0013s | Distancia: 7965
[SA] n=50 | SA | T0=2000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0015s | Distancia: 7000
[SA] n=50 | SA | T0=2000, CR=0.9, Tmin=0.1 | Tiempo: 0.0009s | Distancia: 7968
[SA] n=50 | SA | T0=2000, CR=0.95, Tmin=0.01 | Tiempo: 0.0025s | Distancia: 5943
[SA] n=50 | SA | T0=2000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0043s | Distancia: 6025
[SA] n=50 | SA | T0=2000, CR=0.95, Tmin=0.1 | Tiempo: 0.0019s | Distancia: 6864
[SA] n=50 | SA | T0=2000, CR=0.99, Tmin=0.01 | Tiempo: 0.0118s | Distancia: 4854
[SA] n=50 | SA | T0=2000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0166s | Distancia: 3870
[SA] n=50 | SA | T0=2000, CR=0.99, Tmin=0.1 | Tiempo: 0.0095s | Distancia: 5078
[SA] n=50 | SA | T0=2000, CR=0.995, Tmin=0.01 | Tiempo: 0.0236s | Distancia: 3859
[SA] n=50 | SA | T0=2000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0325s | Distancia: 3655
[SA] n=50 | SA | T0=2000, CR=0.995, Tmin=0.1 | Tiempo: 0.0189s | Distancia: 4456
[SA] n=100 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0012s | Distancia: 17917
[SA] n=100 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0019s | Distancia: 16079
[SA] n=100 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0009s | Distancia: 20610
[SA] n=100 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0024s | Distancia: 14654
[SA] n=100 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0038s | Distancia: 12723
[SA] n=100 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0017s | Distancia: 16685
[SA] n=100 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0125s | Distancia: 9432
[SA] n=100 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0190s | Distancia: 8780
[SA] n=100 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0090s | Distancia: 10822
[SA] n=100 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0246s | Distancia: 8371
[SA] n=100 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0380s | Distancia: 7519
[SA] n=100 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0186s | Distancia: 8877
[SA] n=100 | SA | T0=100, CR=0.9, Tmin=0.01 | Tiempo: 0.0013s | Distancia: 18677
[SA] n=100 | SA | T0=100, CR=0.9, Tmin=0.0001 | Tiempo: 0.0025s | Distancia: 18100
[SA] n=100 | SA | T0=100, CR=0.9, Tmin=0.1 | Tiempo: 0.0010s | Distancia: 18861
[SA] n=100 | SA | T0=100, CR=0.95, Tmin=0.01 | Tiempo: 0.0027s | Distancia: 15569
[SA] n=100 | SA | T0=100, CR=0.95, Tmin=0.0001 | Tiempo: 0.0040s | Distancia: 14373
[SA] n=100 | SA | T0=100, CR=0.95, Tmin=0.1 | Tiempo: 0.0022s | Distancia: 14359
[SA] n=100 | SA | T0=100, CR=0.99, Tmin=0.01 | Tiempo: 0.0135s | Distancia: 10517
[SA] n=100 | SA | T0=100, CR=0.99, Tmin=0.0001 | Tiempo: 0.0204s | Distancia: 9232
[SA] n=100 | SA | T0=100, CR=0.99, Tmin=0.1 | Tiempo: 0.0101s | Distancia: 10987
[SA] n=100 | SA | T0=100, CR=0.995, Tmin=0.01 | Tiempo: 0.0266s | Distancia: 8266
[SA] n=100 | SA | T0=100, CR=0.995, Tmin=0.0001 | Tiempo: 0.0404s | Distancia: 7779
[SA] n=100 | SA | T0=100, CR=0.995, Tmin=0.1 | Tiempo: 0.0204s | Distancia: 8977
[SA] n=100 | SA | T0=500, CR=0.9, Tmin=0.01 | Tiempo: 0.0019s | Distancia: 17952
[SA] n=100 | SA | T0=500, CR=0.9, Tmin=0.0001 | Tiempo: 0.0026s | Distancia: 17742
[SA] n=100 | SA | T0=500, CR=0.9, Tmin=0.1 | Tiempo: 0.0013s | Distancia: 18747
[SA] n=100 | SA | T0=500, CR=0.95, Tmin=0.01 | Tiempo: 0.0030s | Distancia: 14460
[SA] n=100 | SA | T0=500, CR=0.95, Tmin=0.0001 | Tiempo: 0.0044s | Distancia: 12628
[SA] n=100 | SA | T0=500, CR=0.95, Tmin=0.1 | Tiempo: 0.0024s | Distancia: 16144
[SA] n=100 | SA | T0=500, CR=0.99, Tmin=0.01 | Tiempo: 0.0156s | Distancia: 9261
[SA] n=100 | SA | T0=500, CR=0.99, Tmin=0.0001 | Tiempo: 0.0229s | Distancia: 8209
[SA] n=100 | SA | T0=500, CR=0.99, Tmin=0.1 | Tiempo: 0.0121s | Distancia: 9752
[SA] n=100 | SA | T0=500, CR=0.995, Tmin=0.01 | Tiempo: 0.0317s | Distancia: 8020
[SA] n=100 | SA | T0=500, CR=0.995, Tmin=0.0001 | Tiempo: 0.0452s | Distancia: 6981
[SA] n=100 | SA | T0=500, CR=0.995, Tmin=0.1 | Tiempo: 0.0252s | Distancia: 8739
[SA] n=100 | SA | T0=1000, CR=0.9, Tmin=0.01 | Tiempo: 0.0016s | Distancia: 16790
[SA] n=100 | SA | T0=1000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0022s | Distancia: 15307
[SA] n=100 | SA | T0=1000, CR=0.9, Tmin=0.1 | Tiempo: 0.0013s | Distancia: 17512
[SA] n=100 | SA | T0=1000, CR=0.95, Tmin=0.01 | Tiempo: 0.0034s | Distancia: 14698
[SA] n=100 | SA | T0=1000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0048s | Distancia: 15019
[SA] n=100 | SA | T0=1000, CR=0.95, Tmin=0.1 | Tiempo: 0.0026s | Distancia: 14538
[SA] n=100 | SA | T0=1000, CR=0.99, Tmin=0.01 | Tiempo: 0.0166s | Distancia: 8554
[SA] n=100 | SA | T0=1000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0235s | Distancia: 9201
[SA] n=100 | SA | T0=1000, CR=0.99, Tmin=0.1 | Tiempo: 0.0133s | Distancia: 10623
[SA] n=100 | SA | T0=1000, CR=0.995, Tmin=0.01 | Tiempo: 0.0338s | Distancia: 8524
[SA] n=100 | SA | T0=1000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0541s | Distancia: 7977
[SA] n=100 | SA | T0=1000, CR=0.995, Tmin=0.1 | Tiempo: 0.0267s | Distancia: 8507
[SA] n=100 | SA | T0=2000, CR=0.9, Tmin=0.01 | Tiempo: 0.0017s | Distancia: 16207
[SA] n=100 | SA | T0=2000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0023s | Distancia: 14517
[SA] n=100 | SA | T0=2000, CR=0.9, Tmin=0.1 | Tiempo: 0.0013s | Distancia: 18618
[SA] n=100 | SA | T0=2000, CR=0.95, Tmin=0.01 | Tiempo: 0.0040s | Distancia: 14288
[SA] n=100 | SA | T0=2000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0049s | Distancia: 11199
[SA] n=100 | SA | T0=2000, CR=0.95, Tmin=0.1 | Tiempo: 0.0028s | Distancia: 16854
[SA] n=100 | SA | T0=2000, CR=0.99, Tmin=0.01 | Tiempo: 0.0174s | Distancia: 9818
[SA] n=100 | SA | T0=2000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0247s | Distancia: 8441
[SA] n=100 | SA | T0=2000, CR=0.99, Tmin=0.1 | Tiempo: 0.0145s | Distancia: 10293
[SA] n=100 | SA | T0=2000, CR=0.995, Tmin=0.01 | Tiempo: 0.0356s | Distancia: 7736
[SA] n=100 | SA | T0=2000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0489s | Distancia: 7037
[SA] n=100 | SA | T0=2000, CR=0.995, Tmin=0.1 | Tiempo: 0.0291s | Distancia: 8784
[SA] n=200 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0026s | Distancia: 41783
[SA] n=200 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0030s | Distancia: 38926
[SA] n=200 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0014s | Distancia: 42979
[SA] n=200 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0041s | Distancia: 38398
[SA] n=200 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0065s | Distancia: 32750
[SA] n=200 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0029s | Distancia: 38591
