[SA] n=100 | SA | T0=100, CR=0.95, Tmin=0.1 | Tiempo: 0.0023s | Distancia: 16919
[SA] n=100 | SA | T0=100, CR=0.99, Tmin=0.01 | Tiempo: 0.0138s | Distancia: 9211
[SA] n=100 | SA | T0=100, CR=0.99, Tmin=0.0001 | Tiempo: 0.0208s | Distancia: 8445
[SA] n=100 | SA | T0=100, CR=0.99, Tmin=0.1 | Tiempo: 0.0110s | Distancia: 10180
[SA] n=100 | SA | T0=100, CR=0.995, Tmin=0.01 | Tiempo: 0.0275s | Distancia: 7423
[SA] n=100 | SA | T0=100, CR=0.995, Tmin=0.0001 | Tiempo: 0.0414s | Distancia: 7434
[SA] n=100 | SA | T0=100, CR=0.995, Tmin=0.1 | Tiempo: 0.0208s | Distancia: 8744
[SA] n=100 | SA | T0=500, CR=0.9, Tmin=0.01 | Tiempo: 0.0015s | Distancia: 15420
[SA] n=100 | SA | T0=500, CR=0.9, Tmin=0.0001 | Tiempo: 0.0021s | Distancia: 15968
[SA] n=100 | SA | T0=500, CR=0.9, Tmin=0.1 | Tiempo: 0.0016s | Distancia: 18488
[SA] n=100 | SA | T0=500, CR=0.95, Tmin=0.01 | Tiempo: 0.0034s | Distancia: 14100
[SA] n=100 | SA | T0=500, CR=0.95, Tmin=0.0001 | Tiempo: 0.0043s | Distancia: 13148
[SA] n=100 | SA | T0=500, CR=0.95, Tmin=0.1 | Tiempo: 0.0026s | Distancia: 15276
[SA] n=100 | SA | T0=500, CR=0.99, Tmin=0.01 | Tiempo: 0.0163s | Distancia: 9981
[SA] n=100 | SA | T0=500, CR=0.99, Tmin=0.0001 | Tiempo: 0.0228s | Distancia: 8851
[SA] n=100 | SA | T0=500, CR=0.99, Tmin=0.1 | Tiempo: 0.0124s | Distancia: 10199
[SA] n=100 | SA | T0=500, CR=0.995, Tmin=0.01 | Tiempo: 0.0313s | Distancia: 7689
[SA] n=100 | SA | T0=500, CR=0.995, Tmin=0.0001 | Tiempo: 0.0461s | Distancia: 7197
