[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.1011s | Distancia: 1094
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.1003s | Distancia: 1173
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0998s | Distancia: 1291
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.1037s | Distancia: 1255
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.1007s | Distancia: 1042
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.1015s | Distancia: 1367
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.1001s | Distancia: 1318
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.1008s | Distancia: 1228
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.1010s | Distancia: 1302
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.1029s | Distancia: 1239
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.1035s | Distancia: 1093
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.1023s | Distancia: 1285
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.1023s | Distancia: 1168
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.1028s | Distancia: 1049
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.1022s | Distancia: 1162
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.1045s | Distancia: 1048
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.1032s | Distancia: 1168
